taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
11423751	Bertula helena Hacker & Staude, 2021	11423751	Bertula helena Hacker & Staude, 2021	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Erebidae	4532185	Bertula	1793603	Bertula helena	11423751	NE
11439195	BOLD:ADN3086	11439195	BOLD:ADN3086	29	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Gelechiidae	3553					
11596592	Chrysoritis turneri	11596592	Chrysoritis turneri	17	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Lycaenidae	5473	Chrysoritis	1924522	Chrysoritis turneri	11596592	NE
11841745	Eublemma bolinia bolinia	11841745	Eublemma bolinia bolinia	1	SUBSPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Noctuidae	7015	Eublemma	9118632	Eublemma bolinia	1797942	
11989737	Eublemma staudingeri pretoriae Distant, 1898	11680725	Eublemma staudingeri staudingeri	1	SUBSPECIES	SYNONYM	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Noctuidae	7015	Eublemma	9118632	Eublemma staudingeri	1797764	
1733819	Napta straminea (Aurivillius, 1921)	1733819	Napta straminea (Aurivillius, 1921)	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Lasiocampidae	3530	Napta	1733816	Napta straminea	1733819	NE
1801162	Selepa rufescens Hampson, 1912	1801162	Selepa rufescens Hampson, 1912	2	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Nolidae	9717	Selepa	1801146	Selepa rufescens	1801162	NE
1818477	Laelia Stephens, 1828	1818477	Laelia Stephens, 1828	2	GENUS	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Erebidae	4532185	Laelia	1818477			
1830236	Argyresthia stilpnota Meyrick, 1913	1830236	Argyresthia stilpnota Meyrick, 1913	2	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Argyresthiidae	4525465	Argyresthia	1830118	Argyresthia stilpnota	1830236	NE
1833467	Oxyscopa dealbata Meyrick, 1926	1833467	Oxyscopa dealbata Meyrick, 1926	2	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Oecophoridae	9689	Oxyscopa	1833466	Oxyscopa dealbata	1833467	NE
1841790	Scythris roseola Meyrick, 1912	1841790	Scythris roseola Meyrick, 1912	7	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Scythrididae	8866	Scythris	1841529	Scythris roseola	1841790	NE
